time_s,speed_rpm,current_A,back_emf_V,T_em_Nm,T_fan_Nm,P_fan_out_W,P_copper_W,P_eddy_W,P_hysteresis_W,P_mec_W,P_in_W,efficiency
0.00000,0.04,0.40000,0.00000,0.012120,0.000000,0.000000,0.011844,0.000000,0.000000,0.000001,80.000000,0.0000
0.00010,0.13,0.79994,0.00013,0.024237,0.000000,0.000000,0.047369,0.000000,0.000000,0.000004,159.988102,0.0000
0.00020,0.26,1.19982,0.00041,0.036353,0.000000,0.000000,0.106564,0.000000,0.000001,0.000008,239.964254,0.0000
0.00030,0.43,1.59964,0.00081,0.048468,0.000000,0.000000,0.189419,0.000000,0.000001,0.000013,319.928402,0.0000
0.00040,0.64,1.99940,0.00136,0.060580,0.000000,0.000000,0.295923,0.000000,0.000002,0.000020,399.880493,0.0000
0.00050,0.90,2.39910,0.00204,0.072691,0.000000,0.000000,0.426065,0.000000,0.000003,0.000028,479.820474,0.0000
0.00060,1.20,2.79874,0.00286,0.084799,0.000000,0.000000,0.579834,0.000000,0.000004,0.000038,559.748292,0.0000
0.00070,1.55,3.19832,0.00382,0.096906,0.000000,0.000000,0.757219,0.000000,0.000005,0.000049,639.663893,0.0000
0.00080,1.94,3.59784,0.00491,0.109011,0.000000,0.000000,0.958210,0.000000,0.000006,0.000062,719.567225,0.0000
0.00090,2.37,3.99729,0.00615,0.121114,0.000000,0.000000,1.182795,0.000000,0.000007,0.000075,799.458235,0.0000
0.00100,2.84,4.39668,0.00751,0.133215,0.000000,0.000000,1.430964,0.000000,0.000009,0.000091,879.336870,0.0000
0.00110,3.36,4.79602,0.00902,0.145315,0.000000,0.000000,1.702704,0.000000,0.000011,0.000108,959.203076,0.0000
0.00120,3.92,5.19528,0.01066,0.157412,0.000000,0.000000,1.998005,0.000000,0.000012,0.000126,1039.056801,0.0000
0.00130,4.53,5.59449,0.01244,0.169508,0.000000,0.000000,2.316856,0.000000,0.000014,0.000146,1118.897991,0.0000
0.00140,5.17,5.99363,0.01436,0.181601,0.000000,0.000000,2.659245,0.000000,0.000016,0.000168,1198.726595,0.0000
0.00150,5.86,6.39271,0.01641,0.193693,0.000000,0.000000,3.025160,0.000000,0.000019,0.000191,1278.542558,0.0000
0.00160,6.60,6.79173,0.01860,0.205783,0.000000,0.000000,3.414591,0.000000,0.000021,0.000216,1358.345828,0.0000
0.00170,7.37,7.19068,0.02093,0.217871,0.000000,0.000000,3.827526,0.000000,0.000023,0.000242,1438.136352,0.0000
0.00180,8.19,7.58957,0.02340,0.229957,0.000000,0.000000,4.263953,0.000000,0.000026,0.000271,1517.914077,0.0000
0.00190,9.06,7.98839,0.02600,0.242041,0.000000,0.000000,4.723860,0.000000,0.000029,0.000301,1597.678950,0.0000
0.00200,9.96,8.38715,0.02874,0.254123,0.000000,0.000000,5.207236,0.000000,0.000031,0.000333,1677.430919,0.0000
0.00210,10.91,8.78585,0.03161,0.266203,0.000000,0.000000,5.714070,0.000000,0.000034,0.000367,1757.169930,0.0000
