parameter,value,P_fan_mW,efficiency_%,delta_P_%
axial_depth_mm,10.0,80817915.66237189,9.17759424208045,227.5982538537246
axial_depth_mm,22.727272727272727,191064409.60034147,27.91005765551483,674.4862812368611
axial_depth_mm,35.45454545454545,232986109.22539186,46.5744278636638,844.417360047658
axial_depth_mm,48.18181818181818,215768253.6193524,61.74130901262782,774.624178852436
axial_depth_mm,60.90909090909091,172428961.33283585,72.46120820416763,598.9468385009151
axial_depth_mm,73.63636363636363,128440202.4200034,79.36830450182956,420.63686241542877
axial_depth_mm,86.36363636363636,94097554.87587886,83.76281008724177,281.42773686497515
axial_depth_mm,99.0909090909091,69681767.3809315,86.76492087054355,182.45748646624554
axial_depth_mm,111.81818181818181,52430108.69249337,88.90336153971428,112.52728329170229
axial_depth_mm,124.54545454545453,40033511.645925514,90.24729618550101,62.27724265529571
axial_depth_mm,137.27272727272725,31097532.010483928,90.85880419452181,26.0549359916003
axial_depth_mm,150.0,24669824.91868158,91.17651064439423,0.0
core_diameter_mm,5.0,0.0,0.0,-100.0
core_diameter_mm,8.09090909090909,95805031.15832649,81.60938910125579,288.349051823942
core_diameter_mm,11.181818181818182,69011024.6895389,86.30643661192748,179.738607456753
core_diameter_mm,14.272727272727273,54104612.108889684,88.59791495265561,119.31494158241141
core_diameter_mm,17.363636363636363,45004082.49800019,89.87370463593881,82.42562582566283
core_diameter_mm,20.454545454545453,38993844.49531997,90.65041400433523,58.062915419360436
core_diameter_mm,23.545454545454547,34774977.50266361,91.15314646617206,40.96159019081549
core_diameter_mm,26.636363636363637,31670249.89455746,91.49251144724634,28.376468008796884
core_diameter_mm,29.727272727272727,29298757.440459713,91.72794857962218,18.763540223882202
core_diameter_mm,32.81818181818181,27431358.19489736,91.89767311552029,11.193971928534323
core_diameter_mm,35.90909090909091,25965835.831866395,92.12821781274603,5.253425662552602
core_diameter_mm,39.0,24669824.91868158,91.17651064439423,0.0
turns,10.0,1339378793.7663157,17.659011288919803,5329.218886559879
turns,20.0,695067961.5381567,28.032549970662174,2717.4823446428536
turns,40.0,330083703.98320746,43.30255709560961,1238.0058637272566
turns,60.0,306136387.0776894,64.24089798211054,1140.9345752829531
turns,80.0,217654700.00283182,77.16935863894217,782.2709553889442
turns,100.0,139491251.42023692,83.27613095906256,465.4326768837551
turns,150.0,53058714.690699846,90.04559777437254,115.0753597384486
turns,200.0,24669824.91868158,91.17651064439423,0.0
wire_dia_mm,0.1,716.9548555363559,0.3417431657481484,-99.9970937983634
wire_dia_mm,0.5454545454545455,1286015.6696879477,30.995911209468265,-94.7870904073012
wire_dia_mm,0.990909090909091,4961803.59740532,52.73494599974106,-79.88715520373263
wire_dia_mm,1.4363636363636365,9221748.145070925,65.53353054434581,-62.619320666164825
wire_dia_mm,1.881818181818182,13079449.514881784,73.97640398922515,-46.981992948895304
wire_dia_mm,2.3272727272727276,16216053.052901031,79.66174664897416,-34.26766056770354
wire_dia_mm,2.772727272727273,18659405.014590286,83.55238409477128,-24.36344775004794
wire_dia_mm,3.2181818181818187,20538728.66048218,86.25085134873171,-16.745543480006905
wire_dia_mm,3.663636363636364,21984741.72358997,88.14389758898527,-10.884078845076411
wire_dia_mm,4.109090909090909,23104265.44098736,89.48945505929916,-6.346050216629942
wire_dia_mm,4.554545454545455,23978998.141150072,90.4614274838578,-2.8002905566158622
wire_dia_mm,5.0,24669824.91868158,91.17651064439423,0.0
lam_thickness_mm,0.05,24669824.91868158,91.17651064439423,0.0
lam_thickness_mm,0.07533150951473337,24669824.91868158,91.17651064439423,0.0
lam_thickness_mm,0.11349672651536731,24669824.91868158,91.17651064439423,0.0
lam_thickness_mm,0.17099759466766967,24669824.91868158,91.17651064439423,0.0
lam_thickness_mm,0.2576301385940816,24669824.91868158,91.17651064439423,0.0
lam_thickness_mm,0.38815334473564284,24669824.91868158,91.17651064439423,0.0
lam_thickness_mm,0.5848035476425731,24669824.91868158,91.17651064439423,0.0
lam_thickness_mm,0.8810826802697267,24669824.91868158,91.17651064439423,0.0
lam_thickness_mm,1.3274657662401144,24669824.91868158,91.17651064439423,0.0
lam_thickness_mm,2.0,24669824.91868158,91.17651064439423,0.0
voltage,3.0,277.19094460356524,0.0,-99.99887639679035
voltage,20.90909090909091,30530.729285693033,68.93374891739029,-99.87624261872011
voltage,38.81818181818182,210512.94727074806,95.92770866102902,-99.14667838963325
voltage,56.727272727272734,600950.0050212368,88.12134618635329,-97.56402809098917
voltage,74.63636363636364,1357181.6208683793,83.8386388196352,-94.49861672978217
voltage,92.54545454545455,2599127.745733939,84.47708421633506,-89.46434458168484
voltage,110.45454545454547,4411771.167596717,86.76282096269124,-82.11673093692757
voltage,128.36363636363637,6873321.187062783,88.56876433244845,-72.13875165422085
voltage,146.27272727272728,10058902.889570605,89.67205414143528,-59.22588456656068
voltage,164.1818181818182,14024585.167810196,90.39803262968277,-43.15085245217985
voltage,182.0909090909091,18866192.044670533,90.90304204810862,-23.52522927560853
voltage,200.0,24669824.91868158,91.17651064439423,0.0
